Date,SPTSX
1990-11-16,3120.555176
1990-11-19,3125.043701
1990-11-20,3099.309082
1990-11-21,3095.219727
1990-11-22,3096.117432
1990-11-23,3110.480713
1990-11-26,3119.657715
1990-11-27,3132.026123
1990-11-28,3136.714111
1990-11-29,3131.028564
1990-11-30,3142.998047
1990-12-03,3154.070068
1990-12-04,3181.699707
1990-12-05,3218.306396
1990-12-06,3231.17334
1990-12-07,3225.388428
1990-12-10,3228.679932
1990-12-11,3231.073975
1990-12-12,3244.240234
1990-12-13,3244.340088
1990-12-14,3235.961426
1990-12-17,3224.789551
1990-12-18,3228.679932
1990-12-19,3245.437256
1990-12-20,3247.132813
1990-12-21,3235.562744
1990-12-24,3230.874512
1990-12-25,nan
1990-12-26,3230.874512
1990-12-27,3225.488281
1990-12-28,3229.27832
1990-12-31,3248.529541
1991-01-01,nan
1991-01-02,3231.17334
1991-01-03,3213.518799
1991-01-04,3208.431641
1991-01-07,3192.87085
1991-01-08,3174.318604
1991-01-09,3161.551025
1991-01-10,3188.681885
1991-01-11,3175.515381
1991-01-14,3159.556152
1991-01-15,3153.970215
1991-01-16,3156.463867
1991-01-17,3193.469727
1991-01-18,3202.346924
1991-01-21,3197.060303
1991-01-22,3188.681885
1991-01-23,3182.497559
1991-01-24,3204.441895
1991-01-25,3225.6875
1991-01-28,3220.401123
1991-01-29,3214.117188
1991-01-30,3240.449951
1991-01-31,3264.588623
1991-02-01,3285.13623
1991-02-04,3319.44873
1991-02-05,3357.252686
1991-02-06,3415.304932
1991-02-07,3422.985107
1991-02-08,3436.550781
1991-02-11,3492.308594
1991-02-12,3495.899658
1991-02-13,3510.262939
1991-02-14,3483.431641
1991-02-15,3497.695313
1991-02-18,3524.028076
1991-02-19,3521.93335
1991-02-20,3484.628418
1991-02-21,3463.083252
1991-02-22,3444.530518
1991-02-25,3436.850098
1991-02-26,3412.711426
1991-02-27,3436.351563
1991-02-28,3453.607178
1991-03-01,3462.584473
1991-03-04,3510.163574
1991-03-05,3552.854492
1991-03-06,3562.430176
1991-03-07,3554.949463
1991-03-08,3562.330322
1991-03-11,3545.972168
1991-03-12,3535.39917
1991-03-13,3541.683105
1991-03-14,3521.135498
1991-03-15,3508.268311
1991-03-18,3506.07373
1991-03-19,3486.623291
1991-03-20,3472.459473
1991-03-21,3469.866211
1991-03-22,3448.221191
1991-03-25,3451.01416
1991-03-26,3459.093506
1991-03-27,3477.446533
1991-03-28,3486.82251
1991-03-29,nan
1991-04-01,3478.045166
1991-04-02,3507.370361
1991-04-03,3507.470215
1991-04-04,3515.350342
1991-04-05,3509.165771
1991-04-08,3506.771973
1991-04-09,3496.198975
1991-04-10,3485.226807
1991-04-11,3495.899658
1991-04-12,3500.487793
1991-04-15,3507.470215
1991-04-16,3530.710938
1991-04-17,3536.895264
1991-04-18,3524.925537
1991-04-19,3487.121826
1991-04-22,3482.733154
1991-04-23,3493.505615
1991-04-24,3495.201416
1991-04-25,3493.106689
1991-04-26,3488.319092
1991-04-29,3463.382324
1991-04-30,3459.991211
1991-05-01,3484.229492
1991-05-02,3492.009766
1991-05-03,3482.434082
1991-05-06,3478.843262
1991-05-07,3469.96582
1991-05-08,3473.157471
1991-05-09,3495.60083
1991-05-10,3480.937988
1991-05-13,3483.830322
1991-05-14,3453.607178
1991-05-15,3435.952148
1991-05-16,3447.423096
1991-05-17,3440.939453
1991-05-20,3440.939453
1991-05-21,3438.845215
1991-05-22,3439.343994
1991-05-23,3437.647705
1991-05-24,3448.121094
1991-05-27,3447.822266
1991-05-28,3483.930176
1991-05-29,3489.515869
1991-05-30,3510.562012
1991-05-31,3537.094727
1991-06-03,3549.001953
1991-06-04,3545.633789
1991-06-05,3554.649658
1991-06-06,3575.23999
1991-06-07,3580.437744
1991-06-10,3567.643555
1991-06-11,3570.64209
1991-06-12,3556.44873
1991-06-13,3550.951416
1991-06-14,3558.147949
1991-06-17,3545.553711
1991-06-18,3548.252441
1991-06-19,3527.862061
1991-06-20,3525.663086
1991-06-21,3515.067871
1991-06-24,3477.185547
1991-06-25,3477.085449
1991-06-26,3479.484619
1991-06-27,3472.987549
1991-06-28,3464.19165
1991-07-01,3464.19165
1991-07-02,3491.97876
1991-07-03,3477.485596
1991-07-04,3483.782471
1991-07-05,3480.583984
1991-07-08,3487.180908
1991-07-09,3495.776855
1991-07-10,3502.57373
1991-07-11,3506.271973
1991-07-12,3516.300049
1991-07-15,3526.899902
1991-07-16,3535.5
1991-07-17,3541.800049
1991-07-18,3561.199951
1991-07-19,3561.300049
1991-07-22,3545.399902
1991-07-23,3535.399902
1991-07-24,3518.600098
1991-07-25,3523.600098
1991-07-26,3524.699951
1991-07-29,3530.300049
1991-07-30,3548.899902
1991-07-31,3539.600098
1991-08-01,3537.199951
1991-08-02,3522.699951
1991-08-05,3522.699951
1991-08-06,3515.399902
1991-08-07,3528.600098
1991-08-08,3514.699951
1991-08-09,3502.800049
1991-08-12,3495.399902
1991-08-13,3524.199951
1991-08-14,3541.800049
1991-08-15,3534.399902
1991-08-16,3527.5
1991-08-19,3484.600098
1991-08-20,3485.300049
1991-08-21,3512
1991-08-22,3517.199951
1991-08-23,3532.100098
1991-08-26,3532
1991-08-27,3517.699951
1991-08-28,3521.300049
1991-08-29,3514.899902
1991-08-30,3517.899902
1991-09-02,nan
1991-09-03,3504.899902
1991-09-04,3486.800049
1991-09-05,3485.5
1991-09-06,3488.300049
1991-09-09,3479
1991-09-10,3448.199951
1991-09-11,3429.699951
1991-09-12,3437.600098
1991-09-13,3421.100098
1991-09-16,3428.199951
1991-09-17,3418
1991-09-18,3418.5
1991-09-19,3412
1991-09-20,3407.100098
1991-09-23,3396.600098
1991-09-24,3398.100098
1991-09-25,3390.100098
1991-09-26,3385.100098
1991-09-27,3381.800049
1991-09-30,3387.899902
1991-10-01,3395.300049
1991-10-02,3393.600098
1991-10-03,3393.300049
1991-10-04,3378.899902
1991-10-07,3357.100098
1991-10-08,3353.699951
1991-10-09,3339.5
1991-10-10,3345.100098
1991-10-11,3375.399902
1991-10-14,3375.399902
1991-10-15,3416.699951
1991-10-16,3463
1991-10-17,3466.199951
1991-10-18,3482.300049
1991-10-21,3467.199951
1991-10-22,3467.399902
1991-10-23,3459.199951
1991-10-24,3446.899902
1991-10-25,3434.199951
1991-10-28,3455.800049
1991-10-29,3485.399902
1991-10-30,3497.600098
1991-10-31,3515.800049
1991-11-01,3512.600098
1991-11-04,3511.800049
1991-11-05,3525.699951
1991-11-06,3531.100098
1991-11-07,3546.699951
1991-11-08,3561.600098
1991-11-11,3579.300049
1991-11-12,3604.100098
1991-11-13,3596.899902
1991-11-14,3575.800049
1991-11-15,3535.5
1991-11-18,3550.800049
1991-11-19,3515.300049
1991-11-20,3501.699951
1991-11-21,3493.100098
1991-11-22,3451.899902
1991-11-25,3443.5
1991-11-26,3448.300049
1991-11-27,3440.100098
1991-11-28,3436.899902
1991-11-29,3448.5
1991-12-02,3456.399902
1991-12-03,3453.399902
1991-12-04,3427.5
1991-12-05,3426.600098
1991-12-06,3426.5
1991-12-09,3382.899902
1991-12-10,3374.699951
1991-12-11,3351.899902
1991-12-12,3348.399902
1991-12-13,3359.5
1991-12-16,3346.100098
1991-12-17,3325.100098
1991-12-18,3332.600098
1991-12-19,3326.100098
1991-12-20,3340.899902
1991-12-23,3378.199951
1991-12-24,3402
1991-12-25,nan
1991-12-26,3402
1991-12-27,3441.899902
1991-12-30,3505.899902
1991-12-31,3512.399902
1992-01-01,nan
1992-01-02,3493.699951
1992-01-03,3517.5
1992-01-06,3524.800049
1992-01-07,3512.899902
1992-01-08,3515.600098
1992-01-09,3580.600098
1992-01-10,3593.399902
1992-01-13,3594.399902
1992-01-14,3635
1992-01-15,3656.699951
1992-01-16,3666
1992-01-17,3658.300049
1992-01-20,3655.699951
1992-01-21,3620.399902
1992-01-22,3638.800049
1992-01-23,3624.5
1992-01-24,3630.800049
1992-01-27,3628.5
1992-01-28,3623.300049
1992-01-29,3598.600098
1992-01-30,3605.800049
1992-01-31,3596.100098
1992-02-03,3594.399902
1992-02-04,3618.100098
1992-02-05,3605.899902
1992-02-06,3606.699951
1992-02-07,3596.300049
1992-02-10,3608.5
1992-02-11,3597.899902
1992-02-12,3595.800049
1992-02-13,3581.800049
1992-02-14,3573.899902
1992-02-17,3570.800049
1992-02-18,3551.199951
1992-02-19,3543.300049
1992-02-20,3537
1992-02-21,3536.600098
1992-02-24,3543.300049
1992-02-25,3544.899902
1992-02-26,3580.5
1992-02-27,3584.100098
1992-02-28,3581.899902
1992-03-02,3579.5
1992-03-03,3576.800049
1992-03-04,3587.600098
1992-03-05,3545.600098
1992-03-06,3530.800049
1992-03-09,3518.600098
1992-03-10,3529.899902
1992-03-11,3503.600098
1992-03-12,3479.800049
1992-03-13,3475.800049
1992-03-16,3444.100098
1992-03-17,3439.800049
1992-03-18,3451.899902
1992-03-19,3466.699951
1992-03-20,3470
1992-03-23,3443.699951
1992-03-24,3437.800049
1992-03-25,3452.300049
1992-03-26,3448.5
1992-03-27,3416.800049
1992-03-30,3406.699951
1992-03-31,3412.100098
1992-04-01,3411.899902
1992-04-02,3395.899902
1992-04-03,3385.5
1992-04-06,3386
1992-04-07,3336.600098
1992-04-08,3318.100098
1992-04-09,3349
1992-04-10,3376.600098
1992-04-13,3389.800049
1992-04-14,3412.600098
1992-04-15,3411.300049
1992-04-16,3415.100098
1992-04-17,nan
1992-04-20,3398.800049
1992-04-21,3380.699951
1992-04-22,3367.800049
1992-04-23,3371.5
1992-04-24,3349.699951
1992-04-27,3326.5
1992-04-28,3337.899902
1992-04-29,3357
1992-04-30,3355.600098
1992-05-01,3357.100098
1992-05-04,3363.5
1992-05-05,3364.5
1992-05-06,3361.300049
1992-05-07,3362.899902
1992-05-08,3374.399902
1992-05-11,3427.199951
1992-05-12,3427.899902
1992-05-13,3404.199951
1992-05-14,3388.300049
1992-05-15,3391.399902
1992-05-18,3391.399902
1992-05-19,3385.300049
1992-05-20,3381.199951
1992-05-21,3358.100098
1992-05-22,3372.199951
1992-05-25,3370.300049
1992-05-26,3382.300049
1992-05-27,3382.899902
1992-05-28,3375.300049
1992-05-29,3387.899902
1992-06-01,3404
1992-06-02,3410.199951
1992-06-03,3407.300049
1992-06-04,3403.399902
1992-06-05,3392.600098
1992-06-08,3394.5
1992-06-09,3386.100098
1992-06-10,3368.600098
1992-06-11,3385.399902
