Date,Open,High,Low,Close,Adj Close,Volume
2018-06-28,16163.599609,16218.000000,16112.599609,16179.900391,16179.900391,212392300
2018-06-29,16230.000000,16304.299805,16230.000000,16277.700195,16277.700195,215940200
2018-07-03,16332.400391,16346.099609,16227.299805,16263.200195,16263.200195,167706400
2018-07-04,16272.400391,16330.700195,16260.299805,16304.700195,16304.700195,63098400
2018-07-05,16326.900391,16330.900391,16235.599609,16266.599609,16266.599609,169774100
2018-07-06,16242.400391,16378.599609,16230.299805,16371.799805,16371.799805,141594800
2018-07-09,16402.699219,16460.500000,16382.299805,16452.300781,16452.300781,149277900
2018-07-10,16481.300781,16553.800781,16481.300781,16548.699219,16548.699219,179453700
2018-07-11,16448.900391,16464.000000,16390.099609,16417.300781,16417.300781,223771000
2018-07-12,16490.199219,16577.099609,16449.099609,16567.400391,16567.400391,168849100
2018-07-13,16560.900391,16586.500000,16539.199219,16561.099609,16561.099609,140905500
2018-07-16,16531.099609,16531.099609,16467.800781,16494.699219,16494.699219,152593700
2018-07-17,16462.199219,16546.300781,16445.199219,16519.199219,16519.199219,164404500
2018-07-18,16547.900391,16557.400391,16477.400391,16477.400391,16477.400391,182820700
2018-07-19,16463.000000,16564.400391,16463.000000,16543.000000,16543.000000,179816500
2018-07-20,16491.900391,16498.599609,16424.800781,16435.500000,16435.500000,175726000
2018-07-23,16444.500000,16444.500000,16389.400391,16420.800781,16420.800781,154956300
2018-07-24,16460.300781,16512.300781,16390.099609,16390.099609,16390.099609,178751900
2018-07-25,16366.500000,16421.900391,16351.000000,16420.800781,16420.800781,158513300
2018-07-26,16387.599609,16480.599609,16364.299805,16455.699219,16455.699219,185503900
2018-07-27,16465.400391,16489.099609,16361.299805,16394.000000,16394.000000,213660700
2018-07-30,16443.000000,16443.000000,16340.500000,16345.500000,16345.500000,143937900
2018-07-31,16358.599609,16434.000000,16324.700195,16434.000000,16434.000000,218906200
2018-08-01,16383.799805,16432.199219,16328.599609,16376.799805,16376.799805,183217000
2018-08-02,16322.000000,16418.800781,16266.599609,16409.199219,16409.199219,177619800
2018-08-03,16390.900391,16429.099609,16369.799805,16420.199219,16420.199219,169210300
2018-08-07,16491.599609,16494.099609,16281.000000,16286.299805,16286.299805,247971400
2018-08-08,16302.099609,16325.099609,16235.599609,16315.099609,16315.099609,173124600
2018-08-09,16327.099609,16430.900391,16326.900391,16417.000000,16417.000000,178858400
2018-08-10,16353.500000,16362.500000,16281.799805,16326.500000,16326.500000,181112000
2018-08-13,16318.299805,16371.900391,16239.700195,16250.799805,16250.799805,169202400
2018-08-14,16296.099609,16342.000000,16250.599609,16330.700195,16330.700195,187168600
2018-08-15,16260.299805,16260.299805,16075.299805,16148.500000,16148.500000,284164600
2018-08-16,16226.400391,16287.700195,16214.799805,16225.700195,16225.700195,199689700
2018-08-17,16219.599609,16336.900391,16194.900391,16323.700195,16323.700195,173991100
2018-08-20,16332.099609,16370.900391,16317.400391,16331.000000,16331.000000,208751900
2018-08-21,16340.299805,16398.599609,16296.400391,16297.000000,16297.000000,219442800
2018-08-22,16322.799805,16397.099609,16322.799805,16347.299805,16347.299805,200198300
2018-08-23,16336.200195,16358.599609,16309.200195,16326.799805,16326.799805,171141500
2018-08-24,16382.799805,16400.900391,16331.500000,16356.099609,16356.099609,211605900
2018-08-27,16416.099609,16475.300781,16416.099609,16444.400391,16444.400391,213875400
2018-08-28,16464.900391,16464.900391,16328.900391,16355.500000,16355.500000,198610200
2018-08-29,16380.599609,16432.900391,16339.099609,16390.300781,16390.300781,180128300
2018-08-30,16375.299805,16439.199219,16349.599609,16371.599609,16371.599609,216595200
2018-08-31,16361.200195,16390.400391,16252.400391,16262.900391,16262.900391,217160800
2018-09-04,16276.299805,16276.299805,16152.200195,16161.299805,16161.299805,239502100
2018-09-05,16144.599609,16156.799805,16033.000000,16137.599609,16137.599609,255580900
2018-09-06,16162.200195,16196.200195,16077.400391,16100.900391,16100.900391,229173900
2018-09-07,16028.900391,16093.400391,15994.299805,16090.299805,16090.299805,225132900
2018-09-10,16121.000000,16147.099609,16057.099609,16057.099609,16057.099609,200681100
2018-09-11,16042.299805,16111.700195,15975.799805,16094.299805,16094.299805,215647000
2018-09-12,16093.299805,16096.099609,15993.599609,16049.000000,16049.000000,266571000
2018-09-13,16059.200195,16071.200195,15987.200195,16001.700195,16001.700195,221711900
2018-09-14,15990.299805,16032.500000,15981.000000,16013.500000,16013.500000,194435900
2018-09-17,16046.500000,16118.000000,16045.299805,16082.299805,16082.299805,222709300
2018-09-18,16120.799805,16198.700195,16091.500000,16196.000000,16196.000000,228914700
2018-09-19,16206.799805,16230.000000,16149.900391,16149.900391,16149.900391,348868600
2018-09-20,16210.000000,16225.299805,16147.099609,16214.799805,16214.799805,259244800
2018-09-21,16235.099609,16267.700195,16211.000000,16224.099609,16224.099609,497537500
2018-09-24,16244.500000,16276.799805,16198.700195,16207.299805,16207.299805,234911500
2018-09-25,16269.200195,16300.700195,16159.500000,16159.500000,16159.500000,237368500
2018-09-26,16166.700195,16241.400391,16146.900391,16169.299805,16169.299805,234652900
2018-09-27,16195.400391,16262.799805,16193.000000,16204.599609,16204.599609,224428600
2018-09-28,16167.400391,16177.500000,16063.700195,16073.099609,16073.099609,260484900
2018-10-01,16152.299805,16193.099609,16069.700195,16104.400391,16104.400391,232645500
2018-10-02,16086.299805,16086.299805,15987.099609,16017.200195,16017.200195,248211900
2018-10-03,16069.500000,16082.299805,16006.200195,16072.099609,16072.099609,225949100
2018-10-04,16057.299805,16057.700195,15928.200195,16006.700195,16006.700195,253042000
2018-10-05,15986.599609,16028.000000,15895.500000,15946.200195,15946.200195,208165400
2018-10-09,15891.299805,15917.799805,15853.900391,15854.099609,15854.099609,228171700
2018-10-10,15830.200195,15830.200195,15511.799805,15517.400391,15517.400391,339860300
2018-10-11,15416.799805,15482.299805,15317.099609,15317.099609,15317.099609,389019100
2018-10-12,15464.000000,15470.900391,15317.700195,15414.299805,15414.299805,289282400
2018-10-15,15441.400391,15476.299805,15398.500000,15409.500000,15409.500000,246963900
2018-10-16,15456.900391,15579.700195,15399.500000,15579.700195,15579.700195,280525800
